Time,Buy Price,Sell Price,Quantity,Pair Profit,Cumulative Income,Portfolio Value,Balance,Crypto Holdings,session
2024-08-20 16:31:06,2660.8,2661.8,0.001,-0.004322599999999621,-0.004322599999999621,-0.005812589999999673,-5.32791259,0.002,simu1
2024-08-20 16:56:24,2658.8,2659.8,0.001,-0.00431859999999995,-0.00431859999999995,-0.019155000000001365,-13.318305,0.005,simu1
2024-08-20 16:57:14,2659.8,2660.8,0.001,-0.00432060000000023,-0.00863920000000018,-0.01784480000000066,-10.6611648,0.004,simu1
2024-08-20 17:00:14,2660.8,2661.8,0.001,-0.004322599999999621,-0.012961799999999801,-0.017325600000000385,-8.0030256,0.003,simu1
2024-08-20 17:00:38,2661.8,2662.8,0.001,-0.004324599999999901,-0.017286399999999702,-0.01492739999999948,-5.3438874,0.002,simu1
2024-08-20 17:00:45,2663.8,2664.8,0.001,-0.004328600000000016,-0.021614999999999718,-0.02074019999999921,-2.6837501999999995,0.001,simu1
