Time,Buy Price,Sell Price,Quantity,Pair Profit,Cumulative Income,Portfolio Value,Balance,Crypto Holdings,session
2024-08-20 17:20:17,60878.8,60903.8,5e-05,-0.004839129999999692,-0.004839129999999692,-0.006852630000000026,-6.097721630000001,0.0001,simu1
2024-08-20 20:42:09,60663.8,60683.8,5e-05,-0.005067380000000288,-0.005067380000000288,-0.00014519000000046134,-3.0362231900000003,5e-05,simu1
2024-08-20 20:46:17,60663.8,60683.8,5e-05,-0.005067380000000288,-0.005067380000000288,-0.008384069999999966,-9.11167257,0.00015000000000000001,simu1
2024-08-20 20:46:21,60683.8,60703.8,5e-05,-0.005069379999999679,-0.010136759999999967,-0.009163759999998966,-6.08051676,0.00010000000000000002,simu1
2024-08-20 21:02:10,60603.8,60623.8,5e-05,-0.005061379999999893,-0.005061379999999893,-0.004058380000000028,-6.067441380000001,0.0001,simu1
2024-08-20 21:07:08,60503.8,60523.8,5e-05,-0.005051379999999828,-0.01011275999999972,-0.03509783000000155,-15.164155330000003,0.00025,simu1
2024-08-20 21:19:41,60408.8,60423.8,5e-05,-0.005291629999999881,-0.005291629999999881,-0.0024229399999997625,-3.02346044,5e-05,simu1
2024-08-20 21:20:25,60420.24,60438.8,5e-05,-0.005114952000000006,-0.010406581999999887,-0.006609641999999916,-3.029324642,5e-05,simu1
2024-08-20 21:41:48,60493.7,60673.7,0.001,0.05883259999999524,0.05883259999999524,0.11995630000000546,-60.5541937,0.001,simu1
2024-08-20 21:46:57,60673.7,60853.7,0.001,0.05847259999999466,0.1173051999999899,0.17042519999999683,-121.5900948,0.002,simu1
2024-08-20 22:47:45,59593.7,59773.7,0.001,0.06063259999999815,0.17793779999998804,-3.3125807000000123,-421.7800707,0.007,simu1
2024-08-20 23:24:05,59053.7,59233.7,0.001,0.061712599999999895,0.23965039999998794,-7.067359199999942,-599.4180592,0.010000000000000002,simu1
2024-08-21 00:13:40,58693.7,58873.7,0.001,0.06243260000000106,0.302082999999989,-10.468890299999885,-658.1087403,0.011000000000000003,simu1
2024-08-21 02:06:12,59053.7,59233.7,0.001,0.061712599999999895,0.3637955999999889,-6.951913999999874,-599.293914,0.010000000000000002,simu1
2024-08-21 02:23:25,59233.7,59413.7,0.001,0.06135259999999931,0.4251481999999882,-5.376617699999883,-540.1194477,0.009000000000000001,simu1
2024-08-21 02:23:26,59233.7,59413.7,0.001,0.06135259999999931,0.4865007999999875,-5.394841400000018,-480.7651614,0.008,simu1
2024-08-21 02:42:27,59233.7,59413.7,0.001,0.06135259999999931,0.5478533999999868,-5.1537287999999535,-480.7038088,0.008,simu1
2024-08-21 03:26:37,59233.7,59413.7,0.001,0.06135259999999931,0.6092059999999861,-5.16373619999996,-480.64245619999997,0.008,simu1
2024-08-21 05:34:06,59053.7,59233.7,0.001,0.061712599999999895,0.670918599999986,-6.5905573,-539.6938573,0.009000000000000001,simu1
2024-08-21 06:05:34,59233.7,59413.7,0.001,0.06135259999999931,0.7322711999999854,-5.117791000000011,-480.519391,0.008,simu1
2024-08-21 08:15:44,59053.7,59233.7,0.001,0.061712599999999895,0.7939837999999853,-6.315938399999936,-480.27785839999996,0.008,simu1
2024-08-21 09:58:50,59053.7,59233.7,0.001,0.061712599999999895,0.8556963999999851,-6.434669499999927,-539.5090795,0.009000000000000001,simu1
2024-08-21 10:42:37,59233.7,59413.7,0.001,0.06135259999999931,0.9170489999999845,-5.009893200000022,-480.3346132,0.008,simu1
2024-08-21 12:52:52,59233.7,59413.7,0.001,0.06135259999999931,0.9784015999999838,-4.956140599999969,-480.27326059999996,0.008,simu1
2024-08-21 16:01:02,59593.7,59773.7,0.001,0.06063259999999815,1.039034199999982,-2.5002042999999503,-420.91897429999995,0.007,simu1
2024-08-21 16:16:49,59233.7,59413.7,0.001,0.06135259999999931,1.1003867999999812,-4.602081699999928,-420.4979816999999,0.007,simu1
2024-08-21 21:51:58,59053.7,59233.7,0.001,0.061712599999999895,1.1620993999999811,-5.909103219999906,-479.7299832199999,0.008,simu1
2024-08-21 21:57:03,59233.7,59413.7,0.001,0.06135259999999931,1.2234519999999804,-4.458770619999882,-479.8484506199999,0.008,simu1
2024-08-21 21:57:24,59414.12,59773.7,0.001,0.24039217999999352,1.463844179999974,-2.07833431999984,-420.49416431999987,0.007,simu1
2024-08-21 21:59:32,59773.7,59953.7,0.001,0.06027259999999757,1.5241167799999715,-0.9559780199998613,-360.78023801999984,0.006,simu1
2024-08-21 22:04:05,59773.7,59953.7,0.001,0.06027259999999757,1.584389379999969,-0.9851654199998734,-360.7199654199999,0.006,simu1
2024-08-21 22:10:10,59953.7,60133.7,0.001,0.059912599999996985,1.644301979999966,0.055430880000130855,-300.8262191199999,0.005,simu1
2024-08-21 22:17:15,59233.7,59413.7,0.001,0.06135259999999931,1.7056545799999654,-4.226007619999962,-479.54600761999995,0.008,simu1
2024-08-21 22:32:05,59593.7,59773.7,0.001,0.06063259999999815,1.7662871799999635,-1.784221319999915,-420.19172131999994,0.007,simu1
2024-08-21 22:37:09,59593.7,59773.7,0.001,0.06063259999999815,1.8269197799999617,-1.7025887199999374,-420.1310887199999,0.007,simu1
2024-08-21 22:42:18,59773.7,59953.7,0.001,0.06027259999999757,1.8871923799999593,-0.6644824199999562,-360.41716241999995,0.006,simu1
2024-08-21 23:46:08,59593.7,59773.7,0.001,0.06063259999999815,1.9478249799999574,-1.5881235199999537,-420.01018352,0.007,simu1
